factor,comparison_level,baseline_level,diff,pvalue,lower,upper,ablation_conclusion
chunking,fixed_1024,fixed_512,0.015384114583333275,0.4297840604684152,-0.012719687123709498,0.043487916290376044,Không khác biệt (Không có ý nghĩa thống kê)
chunking,recursive,fixed_512,0.011024305555555503,0.6795069431181642,-0.01707949615148727,0.03912810726259827,Không khác biệt (Không có ý nghĩa thống kê)
chunking,semantic,fixed_512,-0.04242078993055559,0.0011528845405733845,-0.07052459163759836,-0.014316988223512819,TỆ HƠN Baseline (Giảm 0.0424 điểm)
pre_retrieval,query_rewrite,none,-0.02337962962962964,0.031507659731662474,-0.04502310011659135,-0.001736159142667927,TỆ HƠN Baseline (Giảm 0.0234 điểm)
pre_retrieval,hyde,none,-0.08017469618055556,3.4783287361506154e-13,-0.104372831819484,-0.05597656054162713,TỆ HƠN Baseline (Giảm 0.0802 điểm)
retrieval,sparse_bm25,dense_cosine,0.35614474826388887,0.0,0.3335486458214318,0.37874085070634594,TỐT HƠN Baseline (Tăng 0.3561 điểm)
retrieval,hybrid_rrf,dense_cosine,0.29332175925925924,0.0,0.273111190824106,0.31353232769441247,TỐT HƠN Baseline (Tăng 0.2933 điểm)
index_structure,parent_document,flat,-0.09046585648148142,0.0,-0.1073299815786709,-0.07360173138429195,TỆ HƠN Baseline (Giảm 0.0905 điểm)
post_retrieval,cross_encoder_rerank,none,-0.013579644097222232,0.2648059882414012,-0.034570815992196566,0.007411527797752098,Không khác biệt (Không có ý nghĩa thống kê)
post_retrieval,contextual_compression,none,0.058576795789930525,8.20893951369861e-07,0.032867965667061454,0.08428562591279959,TỐT HƠN Baseline (Tăng 0.0586 điểm)
