factor,comparison_level,baseline_level,diff,pvalue,lower,upper,ablation_conclusion
chunking,fixed_1024,fixed_512,0.015384114583333275,0.4297865257570326,-0.012718339612139754,0.0434865687788063,Không khác biệt (Không có ý nghĩa thống kê)
chunking,recursive,fixed_512,0.011024305555555503,0.6795036744505252,-0.017078148639917527,0.03912675975102853,Không khác biệt (Không có ý nghĩa thống kê)
chunking,semantic,fixed_512,-0.04242078993055559,0.001134105451584877,-0.07052324412602862,-0.014318335735082562,TỆ HƠN Baseline (Giảm 0.0424 điểm)
pre_retrieval,query_rewrite,none,-0.02337962962962964,0.03150693737153132,-0.04501265710971092,-0.0017466021495483632,TỆ HƠN Baseline (Giảm 0.0234 điểm)
pre_retrieval,hyde,none,-0.08017469618055556,3.4416913763379853e-13,-0.10436115618284691,-0.055988236178264206,TỆ HƠN Baseline (Giảm 0.0802 điểm)
retrieval,sparse_bm25,dense_cosine,0.35614474826388887,0.0,0.3335486046469984,0.3787408918807793,TỐT HƠN Baseline (Tăng 0.3561 điểm)
retrieval,hybrid_rrf,dense_cosine,0.29332175925925924,0.0,0.27311115399657326,0.3135323645219452,TỐT HƠN Baseline (Tăng 0.2933 điểm)
index_structure,parent_document,flat,-0.09046585648148142,0.0,-0.10732995813184462,-0.07360175483111822,TỆ HƠN Baseline (Giảm 0.0905 điểm)
post_retrieval,cross_encoder_rerank,none,-0.013579644097222232,0.26479946887137806,-0.03457065691977106,0.007411368725326599,Không khác biệt (Không có ý nghĩa thống kê)
post_retrieval,contextual_compression,none,0.058576795789930525,8.406199949462234e-07,0.032868160490198764,0.08428543108966229,TỐT HƠN Baseline (Tăng 0.0586 điểm)
